iter	Logloss
170	0.3921285492
171	0.3917489589
172	0.390058044
173	0.3888006824
174	0.3873313027
175	0.3862969989
176	0.3860839865
177	0.3856681197
178	0.385649588
179	0.3849935174
180	0.3838541227
181	0.3834113397
182	0.3831386277
183	0.3814727931
184	0.3805512081
185	0.3794814219
186	0.3788127623
187	0.3779853078
188	0.3765758816
189	0.3755191335
190	0.3747011989
191	0.3734043454
192	0.3731538954
193	0.3711906453
194	0.3698080316
195	0.3685915289
196	0.3681718957
197	0.3670224559
198	0.3654064191
199	0.3643978892
200	0.3630972918
201	0.3629143554
202	0.3625751072
203	0.3620452108
204	0.3618616882
205	0.3604136666
206	0.3587581111
207	0.3577241392
208	0.3561402311
209	0.3559522125
210	0.3559050904
211	0.3555910505
212	0.3551528539
213	0.3550419025
214	0.3545879318
215	0.3537367127
216	0.3537044927
217	0.3526088921
218	0.3516606991
219	0.3512477046
220	0.350642435
221	0.3502479513
222	0.3501911771
223	0.3496158117
224	0.3490080638
225	0.3478402877
226	0.3460906552
227	0.3452202452
228	0.3444667103
229	0.3443841809
230	0.3441359226
231	0.34339881
232	0.3413386611
233	0.3407852912
234	0.3397261968
235	0.3391453763
236	0.3375907915
237	0.3367926784
238	0.3363330897
239	0.3355755689
240	0.3350677273
241	0.3340199809
242	0.3325856714
243	0.332048587
244	0.3304266137
245	0.3296902387
246	0.32958007
247	0.3295546229
248	0.3290210907
249	0.3285742798
250	0.32791115
251	0.327352822
252	0.3272205207
253	0.3265243354
254	0.3263177355
255	0.3260306056
256	0.3253882573
257	0.3245123309
258	0.3237453679
259	0.3233516744
260	0.3229657969
261	0.3219126533
262	0.3218580519
263	0.321504848
264	0.3214528679
265	0.3213151411
266	0.3202607769
267	0.3201945576
268	0.3196457122
269	0.318889701
270	0.3183546221
271	0.317603484
272	0.3157846416
273	0.3155271502
274	0.314685844
275	0.3137168126
276	0.313579645
277	0.3125969267
278	0.3120689772
279	0.3117201531
280	0.3115649618
281	0.3110843713
282	0.3098965728
283	0.3093503244
284	0.3091399268
285	0.3077050275
286	0.3072200313
287	0.3064879168
288	0.3057863307
289	0.3054123089
290	0.305385755
291	0.3046407942
292	0.3032889508
293	0.3029569891
294	0.3028074525
295	0.3025336075
296	0.301964563
297	0.3013778876
298	0.3008615815
299	0.3003294281
300	0.3000000762
301	0.2988358493
302	0.2982695578
303	0.2972829491
304	0.2962452812
305	0.2958638017
306	0.2956349629
307	0.2950730901
308	0.2948172107
309	0.2940837593
310	0.2929585497
311	0.2928724571
312	0.2922771989
313	0.2918751624
314	0.2910333999
315	0.290848209
316	0.2907113189
317	0.2902682887
318	0.2898846198
319	0.2893010551
320	0.2885931895
321	0.2877750912
322	0.2871929091
323	0.2870411375
324	0.2868415325
325	0.2866461078
326	0.2862930698
327	0.2857060322
328	0.2856197506
329	0.2848936496
330	0.2845783258
331	0.2839166685
332	0.2834793792
333	0.2822234324
334	0.2820346521
335	0.2815137609
336	0.2809350971
337	0.2808195495
338	0.2806422871
339	0.2799224215
340	0.279492556
341	0.2791614735
342	0.2790873681
343	0.2781988017
344	0.2769138941
345	0.276367077
346	0.2761727064
347	0.2756151781
348	0.2753140084
349	0.2747766258
350	0.2741393475
351	0.2737035276
352	0.2732397631
353	0.27294555
354	0.2725577269
355	0.2721798045
356	0.2717581548
357	0.271595742
358	0.2709588047
359	0.2703156446
360	0.2701375595
361	0.2696277606
362	0.26925267
363	0.2686826628
364	0.268495741
365	0.2681839631
366	0.2677155534
367	0.2672741211
368	0.2667853857
369	0.2660389693
370	0.2653921258
371	0.2648279991
372	0.2643836726
373	0.2638276551
374	0.2637992602
375	0.2634315701
376	0.2626925713
377	0.2616051432
378	0.2612423773
379	0.2605060892
380	0.2603103125
381	0.2598619942
382	0.258823859
383	0.2587899531
384	0.2584811261
385	0.2576991297
386	0.2574988565
387	0.2569653216
388	0.2564096896
389	0.2558494553
390	0.2557612935
391	0.2550091525
392	0.2547456884
393	0.2543980029
394	0.2542272561
395	0.2539363949
396	0.2538479519
397	0.2530538829
398	0.2528184766
399	0.2520442903
400	0.2515246655
401	0.251193523
402	0.2509128595
403	0.2503415185
404	0.2499641425
405	0.2498223161
406	0.2494607658
407	0.2487162552
408	0.2486739182
409	0.2483719845
410	0.2482815477
411	0.2479233924
412	0.2472205618
413	0.2466941776
414	0.2463341703
415	0.2458722051
416	0.2449393303
417	0.2441859332
418	0.2440046628
419	0.2439212223
420	0.2436850631
421	0.2432164625
422	0.2423540504
423	0.2420972727
424	0.2415732198
425	0.2412839129
426	0.240548532
427	0.2393451805
428	0.2384866131
429	0.2380435052
430	0.2378261403
431	0.2370811716
432	0.2370624664
433	0.2364233665
434	0.236324251
435	0.2357072567
436	0.2352932269
437	0.2347146071
438	0.2343427627
439	0.2343297577
440	0.2338018552
441	0.2329664514
442	0.2325109179
443	0.2324340409
444	0.2322085714
445	0.2319845066
446	0.2313957281
447	0.2313062674
448	0.2309622848
449	0.2306880151
450	0.230549558
451	0.230084211
452	0.2294478427
453	0.2289556346
454	0.2285292037
455	0.2278602699
456	0.2275912609
457	0.2271147749
458	0.2270995983
459	0.2266216248
460	0.2259617731
461	0.2251963095
462	0.2249198738
463	0.2246676227
464	0.2242349138
465	0.2238838208
466	0.2236158118
467	0.2231097986
468	0.2223496768
469	0.2220935198
470	0.2211754323
471	0.2209096503
472	0.2206241552
473	0.2203134937
474	0.2200721498
475	0.2196887232
476	0.2191412032
477	0.2188434302
478	0.2182115103
479	0.218182009
480	0.217987011
481	0.2177821228
482	0.2173837713
483	0.2167273437
484	0.2160408922
485	0.215658119
486	0.2155191964
487	0.2151278596
488	0.2148089763
489	0.2146801705
490	0.2142932461
491	0.2140515424
492	0.2140201627
493	0.2137895374
494	0.2133164561
495	0.2129919217
496	0.2129447348
497	0.2120047438
498	0.211845363
499	0.2113166386
